Model,Accuracy,Weighted F1,Macro F1
XGBoost (Class Weights),0.6558077436582109,0.6576546205022182,0.4808590060535864
XGBoost,0.6651535380507343,0.6550371597937661,0.45917605422497915
MLP Classifier,0.5512683578104138,0.5448265342402696,0.37478647700635553
Logistic Regression (Balanced),0.3335113484646195,0.3470598436990849,0.29596478126093295
"Linear SVM (C=1, Balanced)",0.3257676902536716,0.3400241608231842,0.2891211108255399
Random Forest (300 trees),0.4026034712950601,0.3654054797861022,0.2378215255922401
"KNN (k=5, distance-weighted)",0.2882510013351135,0.2826938559958647,0.1929476797929936
Dummy Classifier,0.21328437917222964,0.07498691515326257,0.011719394773039888
