Model,Accuracy,Weighted F1,Macro F1
XGBoost (Class Weights),0.6558077436582109,0.6576546205022182,0.4808590060535864
XGBoost Baseline,0.6651535380507343,0.6550371597937661,0.45917605422497915
XGBoost (Partial SMOTE 30%),0.6418558077436582,0.6358605975002952,0.4512256406263707
XGBoost (SMOTE 30% + Class Weights),0.6351802403204272,0.6346389580465222,0.44929280629008794
XGBoost (Partial SMOTE 50%),0.6339786381842457,0.6282888690322319,0.44011407163309413
XGBoost (Full SMOTE),0.609279038718291,0.6027194991357855,0.4200124190614765
XGBoost (Undersampling),0.1561415220293725,0.16999118189113224,0.14566261901808059
